GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AN_Webapp,com.alphanomad.AN_Webapp,LoginView,81,61,8,2,13,12,6,2,1,2
AN_Webapp,com.alphanomad.AN_Webapp,ClaimHistory,85,3,4,0,10,2,3,1,1,1
AN_Webapp,com.alphanomad.AN_Webapp,DBHelper.new AsyncCompletionHandler() {...},0,8,0,0,0,2,0,2,0,2
AN_Webapp,com.alphanomad.AN_Webapp,ClaimForm,5,144,2,24,1,48,3,22,1,3
AN_Webapp,com.alphanomad.AN_Webapp,DBHelper,13,109,1,7,8,22,1,6,0,3
AN_Webapp,com.alphanomad.AN_Webapp,EditString,0,18,0,0,0,5,0,3,0,3
AN_Webapp,com.alphanomad.AN_Webapp,TutorMainView,0,3,0,0,0,2,0,1,0,1
AN_Webapp,com.alphanomad.AN_Webapp,Register,391,392,21,7,45,90,16,2,2,2
AN_Webapp,com.alphanomad.AN_Webapp,UserInfo,0,30,0,0,0,11,0,4,0,4
AN_Webapp,com.alphanomad.AN_Webapp,TutorItem,0,23,0,0,0,10,0,5,0,5
AN_Webapp,com.alphanomad.AN_Webapp,LectMainView,6,83,3,5,2,13,3,3,0,2
AN_Webapp,com.alphanomad.AN_Webapp,HistoryItem,0,73,0,0,0,30,0,15,0,15
AN_Webapp,com.alphanomad.AN_Webapp,MyUI.MyUIServlet,3,0,0,0,1,0,1,0,1,0
AN_Webapp,com.alphanomad.AN_Webapp,ProfileView,0,119,0,2,0,28,0,4,0,3
AN_Webapp,com.alphanomad.AN_Webapp,Booking,0,107,0,0,0,14,0,1,0,1
AN_Webapp,com.alphanomad.AN_Webapp,ConfirmClaimForm,132,388,2,2,22,79,12,3,11,2
AN_Webapp,com.alphanomad.AN_Webapp,MyUI,107,3,0,0,19,1,3,1,3,1
